SQL Query,Prompt,Response
"
            SELECT p.HS06, SUM(f.[Trade Value (US$)]) AS TotalTradeValue
            FROM FactTrade f
            INNER JOIN DimCountry rc ON f.ReporterCountryId = rc.CountryID
            INNER JOIN DimCountry pc ON f.PartnerCountryId = pc.CountryID
            INNER JOIN DimProduct p ON f.ProductID = p.ProductID_SK
            WHERE 
                f.CreationDateKey = 20201231 AND
                f.Is_Active = 'Y' AND
                pc.Country <> 'World' AND
                f.[Trade Flow Code] = 2 AND
                p.HS06 = '999999'
            GROUP BY p.HS06
        ",,"In 2018, the products ranked by trade value, based on trade flow code 2, are as follows:
Product 1: HS06 Code [999999], Total Trade Value: [735187919946.0] US$"
"
            SELECT p.HS06, SUM(f.[Trade Value (US$)]) AS TotalTradeValue
            FROM FactTrade f
            INNER JOIN DimCountry rc ON f.ReporterCountryId = rc.CountryID
            INNER JOIN DimCountry pc ON f.PartnerCountryId = pc.CountryID
            INNER JOIN DimProduct p ON f.ProductID = p.ProductID_SK
            WHERE 
                f.CreationDateKey = 20201231 AND
                f.Is_Active = 'Y' AND
                pc.Country <> 'World' AND
                f.[Trade Flow Code] = 2 AND
                p.HS06 = '270900'
            GROUP BY p.HS06
        ",,"In 2018, the products ranked by trade value, based on trade flow code 2, are as follows:
Product 2: HS06 Code [270900], Total Trade Value: [593039721531.0] US$"
"
            SELECT p.HS06, SUM(f.[Trade Value (US$)]) AS TotalTradeValue
            FROM FactTrade f
            INNER JOIN DimCountry rc ON f.ReporterCountryId = rc.CountryID
            INNER JOIN DimCountry pc ON f.PartnerCountryId = pc.CountryID
            INNER JOIN DimProduct p ON f.ProductID = p.ProductID_SK
            WHERE 
                f.CreationDateKey = 20201231 AND
                f.Is_Active = 'Y' AND
                pc.Country <> 'World' AND
                f.[Trade Flow Code] = 2 AND
                p.HS06 = '710812'
            GROUP BY p.HS06
        ",,"In 2018, the products ranked by trade value, based on trade flow code 2, are as follows:
Product 3: HS06 Code [710812], Total Trade Value: [323605781815.0] US$"
"
            SELECT p.HS06, SUM(f.[Trade Value (US$)]) AS TotalTradeValue
            FROM FactTrade f
            INNER JOIN DimCountry rc ON f.ReporterCountryId = rc.CountryID
            INNER JOIN DimCountry pc ON f.PartnerCountryId = pc.CountryID
            INNER JOIN DimProduct p ON f.ProductID = p.ProductID_SK
            WHERE 
                f.CreationDateKey = 20201231 AND
                f.Is_Active = 'Y' AND
                pc.Country <> 'World' AND
                f.[Trade Flow Code] = 2 AND
                p.HS06 = '300490'
            GROUP BY p.HS06
        ",,"In 2018, the products ranked by trade value, based on trade flow code 2, are as follows:
Product 4: HS06 Code [300490], Total Trade Value: [308861160721.0] US$"
"
            SELECT p.HS06, SUM(f.[Trade Value (US$)]) AS TotalTradeValue
            FROM FactTrade f
            INNER JOIN DimCountry rc ON f.ReporterCountryId = rc.CountryID
            INNER JOIN DimCountry pc ON f.PartnerCountryId = pc.CountryID
            INNER JOIN DimProduct p ON f.ProductID = p.ProductID_SK
            WHERE 
                f.CreationDateKey = 20201231 AND
                f.Is_Active = 'Y' AND
                pc.Country <> 'World' AND
                f.[Trade Flow Code] = 2 AND
                p.HS06 = '854239'
            GROUP BY p.HS06
        ",,"In 2018, the products ranked by trade value, based on trade flow code 2, are as follows:
Product 5: HS06 Code [854239], Total Trade Value: [278955829804.0] US$"
"
            SELECT p.HS06, SUM(f.[Trade Value (US$)]) AS TotalTradeValue
            FROM FactTrade f
            INNER JOIN DimCountry rc ON f.ReporterCountryId = rc.CountryID
            INNER JOIN DimCountry pc ON f.PartnerCountryId = pc.CountryID
            INNER JOIN DimProduct p ON f.ProductID = p.ProductID_SK
            WHERE 
                f.CreationDateKey = 20201231 AND
                f.Is_Active = 'Y' AND
                pc.Country <> 'World' AND
                f.[Trade Flow Code] = 2 AND
                p.HS06 = '854231'
            GROUP BY p.HS06
        ",,"In 2018, the products ranked by trade value, based on trade flow code 2, are as follows:
Product 6: HS06 Code [854231], Total Trade Value: [274742558552.0] US$"
"
            SELECT p.HS06, SUM(f.[Trade Value (US$)]) AS TotalTradeValue
            FROM FactTrade f
            INNER JOIN DimCountry rc ON f.ReporterCountryId = rc.CountryID
            INNER JOIN DimCountry pc ON f.PartnerCountryId = pc.CountryID
            INNER JOIN DimProduct p ON f.ProductID = p.ProductID_SK
            WHERE 
                f.CreationDateKey = 20201231 AND
                f.Is_Active = 'Y' AND
                pc.Country <> 'World' AND
                f.[Trade Flow Code] = 2 AND
                p.HS06 = '271019'
            GROUP BY p.HS06
        ",,"In 2018, the products ranked by trade value, based on trade flow code 2, are as follows:
Product 7: HS06 Code [271019], Total Trade Value: [272742128945.0] US$"
"
            SELECT p.HS06, SUM(f.[Trade Value (US$)]) AS TotalTradeValue
            FROM FactTrade f
            INNER JOIN DimCountry rc ON f.ReporterCountryId = rc.CountryID
            INNER JOIN DimCountry pc ON f.PartnerCountryId = pc.CountryID
            INNER JOIN DimProduct p ON f.ProductID = p.ProductID_SK
            WHERE 
                f.CreationDateKey = 20201231 AND
                f.Is_Active = 'Y' AND
                pc.Country <> 'World' AND
                f.[Trade Flow Code] = 2 AND
                p.HS06 = '851712'
            GROUP BY p.HS06
        ",,"In 2018, the products ranked by trade value, based on trade flow code 2, are as follows:
Product 8: HS06 Code [851712], Total Trade Value: [258381174748.0] US$"
"
            SELECT p.HS06, SUM(f.[Trade Value (US$)]) AS TotalTradeValue
            FROM FactTrade f
            INNER JOIN DimCountry rc ON f.ReporterCountryId = rc.CountryID
            INNER JOIN DimCountry pc ON f.PartnerCountryId = pc.CountryID
            INNER JOIN DimProduct p ON f.ProductID = p.ProductID_SK
            WHERE 
                f.CreationDateKey = 20201231 AND
                f.Is_Active = 'Y' AND
                pc.Country <> 'World' AND
                f.[Trade Flow Code] = 2 AND
                p.HS06 = '870323'
            GROUP BY p.HS06
        ",,"In 2018, the products ranked by trade value, based on trade flow code 2, are as follows:
Product 9: HS06 Code [870323], Total Trade Value: [212316885660.0] US$"
"
            SELECT p.HS06, SUM(f.[Trade Value (US$)]) AS TotalTradeValue
            FROM FactTrade f
            INNER JOIN DimCountry rc ON f.ReporterCountryId = rc.CountryID
            INNER JOIN DimCountry pc ON f.PartnerCountryId = pc.CountryID
            INNER JOIN DimProduct p ON f.ProductID = p.ProductID_SK
            WHERE 
                f.CreationDateKey = 20201231 AND
                f.Is_Active = 'Y' AND
                pc.Country <> 'World' AND
                f.[Trade Flow Code] = 2 AND
                p.HS06 = '854232'
            GROUP BY p.HS06
        ",,"In 2018, the products ranked by trade value, based on trade flow code 2, are as follows:
Product 10: HS06 Code [854232], Total Trade Value: [199521715619.0] US$"
