SQL Query,Prompt,Response
"
        SELECT TOP 3 pc.Country, SUM(f.[Trade Value (US$)]) AS TotalTradeValue
        FROM FactTrade f
        INNER JOIN DimCountry rc ON f.ReporterCountryId = rc.CountryID
        INNER JOIN DimCountry pc ON f.PartnerCountryId = pc.CountryID
        INNER JOIN DimProduct p ON f.ProductID = p.ProductID_SK
        WHERE 
            f.CreationDateKey = 20221231
            AND f.Is_Active = 'Y'
            AND rc.Country = 'Haiti'  -- Handle single quote in country name
            AND pc.Country <> 'World'
            AND [Trade Flow Code] = 2
        GROUP BY pc.Country
        ORDER BY TotalTradeValue DESC;
    ","I'm interested in knowing the top 3 markets for Haiti's exports in 20221231. Can you provide details on these markets, including the countries and their respective total trade values?","In 20221231, the top 3 markets for Haiti's exports, based on trade flow code 2, are as follows:
Market 1: United States, Total Trade Value: 931143635.00 US$"
"
        SELECT TOP 3 pc.Country, SUM(f.[Trade Value (US$)]) AS TotalTradeValue
        FROM FactTrade f
        INNER JOIN DimCountry rc ON f.ReporterCountryId = rc.CountryID
        INNER JOIN DimCountry pc ON f.PartnerCountryId = pc.CountryID
        INNER JOIN DimProduct p ON f.ProductID = p.ProductID_SK
        WHERE 
            f.CreationDateKey = 20221231
            AND f.Is_Active = 'Y'
            AND rc.Country = 'Haiti'  -- Handle single quote in country name
            AND pc.Country <> 'World'
            AND [Trade Flow Code] = 2
        GROUP BY pc.Country
        ORDER BY TotalTradeValue DESC;
    ","I'm interested in knowing the top 3 markets for Haiti's exports in 20221231. Can you provide details on these markets, including the countries and their respective total trade values?","In 20221231, the top 3 markets for Haiti's exports, based on trade flow code 2, are as follows:
Market 1: Canada, Total Trade Value: 48798456.00 US$"
"
        SELECT TOP 3 pc.Country, SUM(f.[Trade Value (US$)]) AS TotalTradeValue
        FROM FactTrade f
        INNER JOIN DimCountry rc ON f.ReporterCountryId = rc.CountryID
        INNER JOIN DimCountry pc ON f.PartnerCountryId = pc.CountryID
        INNER JOIN DimProduct p ON f.ProductID = p.ProductID_SK
        WHERE 
            f.CreationDateKey = 20221231
            AND f.Is_Active = 'Y'
            AND rc.Country = 'Haiti'  -- Handle single quote in country name
            AND pc.Country <> 'World'
            AND [Trade Flow Code] = 2
        GROUP BY pc.Country
        ORDER BY TotalTradeValue DESC;
    ","I'm interested in knowing the top 3 markets for Haiti's exports in 20221231. Can you provide details on these markets, including the countries and their respective total trade values?","In 20221231, the top 3 markets for Haiti's exports, based on trade flow code 2, are as follows:
Market 1: Mexico, Total Trade Value: 38598987.00 US$"
"
        SELECT TOP 3 pc.Country, SUM(f.[Trade Value (US$)]) AS TotalTradeValue
        FROM FactTrade f
        INNER JOIN DimCountry rc ON f.ReporterCountryId = rc.CountryID
        INNER JOIN DimCountry pc ON f.PartnerCountryId = pc.CountryID
        INNER JOIN DimProduct p ON f.ProductID = p.ProductID_SK
        WHERE 
            f.CreationDateKey = 20211231
            AND f.Is_Active = 'Y'
            AND rc.Country = 'Bolivia'  -- Handle single quote in country name
            AND pc.Country <> 'World'
            AND [Trade Flow Code] = 2
        GROUP BY pc.Country
        ORDER BY TotalTradeValue DESC;
    ","I'm interested in knowing the top 3 markets for Bolivia's exports in 20211231. Can you provide details on these markets, including the countries and their respective total trade values?","In 20211231, the top 3 markets for Bolivia's exports, based on trade flow code 2, are as follows:
Market 1: India, Total Trade Value: 1849984715.00 US$"
"
        SELECT TOP 3 pc.Country, SUM(f.[Trade Value (US$)]) AS TotalTradeValue
        FROM FactTrade f
        INNER JOIN DimCountry rc ON f.ReporterCountryId = rc.CountryID
        INNER JOIN DimCountry pc ON f.PartnerCountryId = pc.CountryID
        INNER JOIN DimProduct p ON f.ProductID = p.ProductID_SK
        WHERE 
            f.CreationDateKey = 20211231
            AND f.Is_Active = 'Y'
            AND rc.Country = 'Bolivia'  -- Handle single quote in country name
            AND pc.Country <> 'World'
            AND [Trade Flow Code] = 2
        GROUP BY pc.Country
        ORDER BY TotalTradeValue DESC;
    ","I'm interested in knowing the top 3 markets for Bolivia's exports in 20211231. Can you provide details on these markets, including the countries and their respective total trade values?","In 20211231, the top 3 markets for Bolivia's exports, based on trade flow code 2, are as follows:
Market 1: Brazil, Total Trade Value: 1449012023.00 US$"
"
        SELECT TOP 3 pc.Country, SUM(f.[Trade Value (US$)]) AS TotalTradeValue
        FROM FactTrade f
        INNER JOIN DimCountry rc ON f.ReporterCountryId = rc.CountryID
        INNER JOIN DimCountry pc ON f.PartnerCountryId = pc.CountryID
        INNER JOIN DimProduct p ON f.ProductID = p.ProductID_SK
        WHERE 
            f.CreationDateKey = 20211231
            AND f.Is_Active = 'Y'
            AND rc.Country = 'Bolivia'  -- Handle single quote in country name
            AND pc.Country <> 'World'
            AND [Trade Flow Code] = 2
        GROUP BY pc.Country
        ORDER BY TotalTradeValue DESC;
    ","I'm interested in knowing the top 3 markets for Bolivia's exports in 20211231. Can you provide details on these markets, including the countries and their respective total trade values?","In 20211231, the top 3 markets for Bolivia's exports, based on trade flow code 2, are as follows:
Market 1: Argentina, Total Trade Value: 1043386880.00 US$"
"
        SELECT TOP 3 pc.Country, SUM(f.[Trade Value (US$)]) AS TotalTradeValue
        FROM FactTrade f
        INNER JOIN DimCountry rc ON f.ReporterCountryId = rc.CountryID
        INNER JOIN DimCountry pc ON f.PartnerCountryId = pc.CountryID
        INNER JOIN DimProduct p ON f.ProductID = p.ProductID_SK
        WHERE 
            f.CreationDateKey = 20201231
            AND f.Is_Active = 'Y'
            AND rc.Country = 'India'  -- Handle single quote in country name
            AND pc.Country <> 'World'
            AND [Trade Flow Code] = 2
        GROUP BY pc.Country
        ORDER BY TotalTradeValue DESC;
    ","I'm interested in knowing the top 3 markets for India's exports in 20201231. Can you provide details on these markets, including the countries and their respective total trade values?","In 20201231, the top 3 markets for India's exports, based on trade flow code 2, are as follows:
Market 1: United States, Total Trade Value: 49320594265.00 US$"
"
        SELECT TOP 3 pc.Country, SUM(f.[Trade Value (US$)]) AS TotalTradeValue
        FROM FactTrade f
        INNER JOIN DimCountry rc ON f.ReporterCountryId = rc.CountryID
        INNER JOIN DimCountry pc ON f.PartnerCountryId = pc.CountryID
        INNER JOIN DimProduct p ON f.ProductID = p.ProductID_SK
        WHERE 
            f.CreationDateKey = 20201231
            AND f.Is_Active = 'Y'
            AND rc.Country = 'India'  -- Handle single quote in country name
            AND pc.Country <> 'World'
            AND [Trade Flow Code] = 2
        GROUP BY pc.Country
        ORDER BY TotalTradeValue DESC;
    ","I'm interested in knowing the top 3 markets for India's exports in 20201231. Can you provide details on these markets, including the countries and their respective total trade values?","In 20201231, the top 3 markets for India's exports, based on trade flow code 2, are as follows:
Market 1: China, Total Trade Value: 19008265367.00 US$"
"
        SELECT TOP 3 pc.Country, SUM(f.[Trade Value (US$)]) AS TotalTradeValue
        FROM FactTrade f
        INNER JOIN DimCountry rc ON f.ReporterCountryId = rc.CountryID
        INNER JOIN DimCountry pc ON f.PartnerCountryId = pc.CountryID
        INNER JOIN DimProduct p ON f.ProductID = p.ProductID_SK
        WHERE 
            f.CreationDateKey = 20201231
            AND f.Is_Active = 'Y'
            AND rc.Country = 'India'  -- Handle single quote in country name
            AND pc.Country <> 'World'
            AND [Trade Flow Code] = 2
        GROUP BY pc.Country
        ORDER BY TotalTradeValue DESC;
    ","I'm interested in knowing the top 3 markets for India's exports in 20201231. Can you provide details on these markets, including the countries and their respective total trade values?","In 20201231, the top 3 markets for India's exports, based on trade flow code 2, are as follows:
Market 1: United Arab Emirates, Total Trade Value: 17953333453.00 US$"
"
        SELECT TOP 3 pc.Country, SUM(f.[Trade Value (US$)]) AS TotalTradeValue
        FROM FactTrade f
        INNER JOIN DimCountry rc ON f.ReporterCountryId = rc.CountryID
        INNER JOIN DimCountry pc ON f.PartnerCountryId = pc.CountryID
        INNER JOIN DimProduct p ON f.ProductID = p.ProductID_SK
        WHERE 
            f.CreationDateKey = 20211231
            AND f.Is_Active = 'Y'
            AND rc.Country = 'Algeria'  -- Handle single quote in country name
            AND pc.Country <> 'World'
            AND [Trade Flow Code] = 2
        GROUP BY pc.Country
        ORDER BY TotalTradeValue DESC;
    ","I'm interested in knowing the top 3 markets for Algeria's exports in 20211231. Can you provide details on these markets, including the countries and their respective total trade values?","In 20211231, the top 3 markets for Algeria's exports, based on trade flow code 2, are as follows:
Market 1: Italy, Total Trade Value: 7316883743.00 US$"
"
        SELECT TOP 3 pc.Country, SUM(f.[Trade Value (US$)]) AS TotalTradeValue
        FROM FactTrade f
        INNER JOIN DimCountry rc ON f.ReporterCountryId = rc.CountryID
        INNER JOIN DimCountry pc ON f.PartnerCountryId = pc.CountryID
        INNER JOIN DimProduct p ON f.ProductID = p.ProductID_SK
        WHERE 
            f.CreationDateKey = 20211231
            AND f.Is_Active = 'Y'
            AND rc.Country = 'Algeria'  -- Handle single quote in country name
            AND pc.Country <> 'World'
            AND [Trade Flow Code] = 2
        GROUP BY pc.Country
        ORDER BY TotalTradeValue DESC;
    ","I'm interested in knowing the top 3 markets for Algeria's exports in 20211231. Can you provide details on these markets, including the countries and their respective total trade values?","In 20211231, the top 3 markets for Algeria's exports, based on trade flow code 2, are as follows:
Market 1: Spain, Total Trade Value: 5639436159.00 US$"
"
        SELECT TOP 3 pc.Country, SUM(f.[Trade Value (US$)]) AS TotalTradeValue
        FROM FactTrade f
        INNER JOIN DimCountry rc ON f.ReporterCountryId = rc.CountryID
        INNER JOIN DimCountry pc ON f.PartnerCountryId = pc.CountryID
        INNER JOIN DimProduct p ON f.ProductID = p.ProductID_SK
        WHERE 
            f.CreationDateKey = 20211231
            AND f.Is_Active = 'Y'
            AND rc.Country = 'Algeria'  -- Handle single quote in country name
            AND pc.Country <> 'World'
            AND [Trade Flow Code] = 2
        GROUP BY pc.Country
        ORDER BY TotalTradeValue DESC;
    ","I'm interested in knowing the top 3 markets for Algeria's exports in 20211231. Can you provide details on these markets, including the countries and their respective total trade values?","In 20211231, the top 3 markets for Algeria's exports, based on trade flow code 2, are as follows:
Market 1: France, Total Trade Value: 5106522205.00 US$"
"
        SELECT TOP 3 pc.Country, SUM(f.[Trade Value (US$)]) AS TotalTradeValue
        FROM FactTrade f
        INNER JOIN DimCountry rc ON f.ReporterCountryId = rc.CountryID
        INNER JOIN DimCountry pc ON f.PartnerCountryId = pc.CountryID
        INNER JOIN DimProduct p ON f.ProductID = p.ProductID_SK
        WHERE 
            f.CreationDateKey = 20211231
            AND f.Is_Active = 'Y'
            AND rc.Country = 'Moldova'  -- Handle single quote in country name
            AND pc.Country <> 'World'
            AND [Trade Flow Code] = 2
        GROUP BY pc.Country
        ORDER BY TotalTradeValue DESC;
    ","I'm interested in knowing the top 3 markets for Moldova's exports in 20211231. Can you provide details on these markets, including the countries and their respective total trade values?","In 20211231, the top 3 markets for Moldova's exports, based on trade flow code 2, are as follows:
Market 1: Romania, Total Trade Value: 833477012.00 US$"
"
        SELECT TOP 3 pc.Country, SUM(f.[Trade Value (US$)]) AS TotalTradeValue
        FROM FactTrade f
        INNER JOIN DimCountry rc ON f.ReporterCountryId = rc.CountryID
        INNER JOIN DimCountry pc ON f.PartnerCountryId = pc.CountryID
        INNER JOIN DimProduct p ON f.ProductID = p.ProductID_SK
        WHERE 
            f.CreationDateKey = 20211231
            AND f.Is_Active = 'Y'
            AND rc.Country = 'Moldova'  -- Handle single quote in country name
            AND pc.Country <> 'World'
            AND [Trade Flow Code] = 2
        GROUP BY pc.Country
        ORDER BY TotalTradeValue DESC;
    ","I'm interested in knowing the top 3 markets for Moldova's exports in 20211231. Can you provide details on these markets, including the countries and their respective total trade values?","In 20211231, the top 3 markets for Moldova's exports, based on trade flow code 2, are as follows:
Market 1: Turkey, Total Trade Value: 313959592.00 US$"
"
        SELECT TOP 3 pc.Country, SUM(f.[Trade Value (US$)]) AS TotalTradeValue
        FROM FactTrade f
        INNER JOIN DimCountry rc ON f.ReporterCountryId = rc.CountryID
        INNER JOIN DimCountry pc ON f.PartnerCountryId = pc.CountryID
        INNER JOIN DimProduct p ON f.ProductID = p.ProductID_SK
        WHERE 
            f.CreationDateKey = 20211231
            AND f.Is_Active = 'Y'
            AND rc.Country = 'Moldova'  -- Handle single quote in country name
            AND pc.Country <> 'World'
            AND [Trade Flow Code] = 2
        GROUP BY pc.Country
        ORDER BY TotalTradeValue DESC;
    ","I'm interested in knowing the top 3 markets for Moldova's exports in 20211231. Can you provide details on these markets, including the countries and their respective total trade values?","In 20211231, the top 3 markets for Moldova's exports, based on trade flow code 2, are as follows:
Market 1: Russian Federation, Total Trade Value: 276067084.00 US$"
"
        SELECT TOP 3 pc.Country, SUM(f.[Trade Value (US$)]) AS TotalTradeValue
        FROM FactTrade f
        INNER JOIN DimCountry rc ON f.ReporterCountryId = rc.CountryID
        INNER JOIN DimCountry pc ON f.PartnerCountryId = pc.CountryID
        INNER JOIN DimProduct p ON f.ProductID = p.ProductID_SK
        WHERE 
            f.CreationDateKey = 20211231
            AND f.Is_Active = 'Y'
            AND rc.Country = 'Mozambique'  -- Handle single quote in country name
            AND pc.Country <> 'World'
            AND [Trade Flow Code] = 2
        GROUP BY pc.Country
        ORDER BY TotalTradeValue DESC;
    ","I'm interested in knowing the top 3 markets for Mozambique's exports in 2021. Can you provide details on these markets, including the countries and their respective total trade values?","In 2021, the top 3 markets for Mozambique's exports, based on trade flow code 2, are as follows:
Market 1: South Africa, Total Trade Value: 855241595.00 US$"
"
        SELECT TOP 3 pc.Country, SUM(f.[Trade Value (US$)]) AS TotalTradeValue
        FROM FactTrade f
        INNER JOIN DimCountry rc ON f.ReporterCountryId = rc.CountryID
        INNER JOIN DimCountry pc ON f.PartnerCountryId = pc.CountryID
        INNER JOIN DimProduct p ON f.ProductID = p.ProductID_SK
        WHERE 
            f.CreationDateKey = 20211231
            AND f.Is_Active = 'Y'
            AND rc.Country = 'Mozambique'  -- Handle single quote in country name
            AND pc.Country <> 'World'
            AND [Trade Flow Code] = 2
        GROUP BY pc.Country
        ORDER BY TotalTradeValue DESC;
    ","I'm interested in knowing the top 3 markets for Mozambique's exports in 2021. Can you provide details on these markets, including the countries and their respective total trade values?","In 2021, the top 3 markets for Mozambique's exports, based on trade flow code 2, are as follows:
Market 1: India, Total Trade Value: 803155138.00 US$"
"
        SELECT TOP 3 pc.Country, SUM(f.[Trade Value (US$)]) AS TotalTradeValue
        FROM FactTrade f
        INNER JOIN DimCountry rc ON f.ReporterCountryId = rc.CountryID
        INNER JOIN DimCountry pc ON f.PartnerCountryId = pc.CountryID
        INNER JOIN DimProduct p ON f.ProductID = p.ProductID_SK
        WHERE 
            f.CreationDateKey = 20211231
            AND f.Is_Active = 'Y'
            AND rc.Country = 'Mozambique'  -- Handle single quote in country name
            AND pc.Country <> 'World'
            AND [Trade Flow Code] = 2
        GROUP BY pc.Country
        ORDER BY TotalTradeValue DESC;
    ","I'm interested in knowing the top 3 markets for Mozambique's exports in 2021. Can you provide details on these markets, including the countries and their respective total trade values?","In 2021, the top 3 markets for Mozambique's exports, based on trade flow code 2, are as follows:
Market 1: Netherlands, Total Trade Value: 561581675.00 US$"
"
        SELECT TOP 3 pc.Country, SUM(f.[Trade Value (US$)]) AS TotalTradeValue
        FROM FactTrade f
        INNER JOIN DimCountry rc ON f.ReporterCountryId = rc.CountryID
        INNER JOIN DimCountry pc ON f.PartnerCountryId = pc.CountryID
        INNER JOIN DimProduct p ON f.ProductID = p.ProductID_SK
        WHERE 
            f.CreationDateKey = 20211231
            AND f.Is_Active = 'Y'
            AND rc.Country = 'Cocos Isds'  -- Handle single quote in country name
            AND pc.Country <> 'World'
            AND [Trade Flow Code] = 2
        GROUP BY pc.Country
        ORDER BY TotalTradeValue DESC;
    ","I'm interested in knowing the top 3 markets for Cocos Isds's exports in 2021. Can you provide details on these markets, including the countries and their respective total trade values?","In 2021, the top 3 markets for Cocos Isds's exports, based on trade flow code 2, are as follows:
Market 1: United States, Total Trade Value: 2771247.00 US$"
"
        SELECT TOP 3 pc.Country, SUM(f.[Trade Value (US$)]) AS TotalTradeValue
        FROM FactTrade f
        INNER JOIN DimCountry rc ON f.ReporterCountryId = rc.CountryID
        INNER JOIN DimCountry pc ON f.PartnerCountryId = pc.CountryID
        INNER JOIN DimProduct p ON f.ProductID = p.ProductID_SK
        WHERE 
            f.CreationDateKey = 20211231
            AND f.Is_Active = 'Y'
            AND rc.Country = 'Cocos Isds'  -- Handle single quote in country name
            AND pc.Country <> 'World'
            AND [Trade Flow Code] = 2
        GROUP BY pc.Country
        ORDER BY TotalTradeValue DESC;
    ","I'm interested in knowing the top 3 markets for Cocos Isds's exports in 2021. Can you provide details on these markets, including the countries and their respective total trade values?","In 2021, the top 3 markets for Cocos Isds's exports, based on trade flow code 2, are as follows:
Market 1: Malaysia, Total Trade Value: 1566865.00 US$"
"
        SELECT TOP 3 pc.Country, SUM(f.[Trade Value (US$)]) AS TotalTradeValue
        FROM FactTrade f
        INNER JOIN DimCountry rc ON f.ReporterCountryId = rc.CountryID
        INNER JOIN DimCountry pc ON f.PartnerCountryId = pc.CountryID
        INNER JOIN DimProduct p ON f.ProductID = p.ProductID_SK
        WHERE 
            f.CreationDateKey = 20211231
            AND f.Is_Active = 'Y'
            AND rc.Country = 'Cocos Isds'  -- Handle single quote in country name
            AND pc.Country <> 'World'
            AND [Trade Flow Code] = 2
        GROUP BY pc.Country
        ORDER BY TotalTradeValue DESC;
    ","I'm interested in knowing the top 3 markets for Cocos Isds's exports in 2021. Can you provide details on these markets, including the countries and their respective total trade values?","In 2021, the top 3 markets for Cocos Isds's exports, based on trade flow code 2, are as follows:
Market 1: United Kingdom, Total Trade Value: 891761.00 US$"
"
        SELECT TOP 3 pc.Country, SUM(f.[Trade Value (US$)]) AS TotalTradeValue
        FROM FactTrade f
        INNER JOIN DimCountry rc ON f.ReporterCountryId = rc.CountryID
        INNER JOIN DimCountry pc ON f.PartnerCountryId = pc.CountryID
        INNER JOIN DimProduct p ON f.ProductID = p.ProductID_SK
        WHERE 
            f.CreationDateKey = 20201231
            AND f.Is_Active = 'Y'
            AND rc.Country = 'Saudi Arabia'  -- Handle single quote in country name
            AND pc.Country <> 'World'
            AND [Trade Flow Code] = 2
        GROUP BY pc.Country
        ORDER BY TotalTradeValue DESC;
    ","I'm interested in knowing the top 3 markets for Saudi Arabia's exports in 2020. Can you provide details on these markets, including the countries and their respective total trade values?","In 2020, the top 3 markets for Saudi Arabia's exports, based on trade flow code 2, are as follows:
Market 1: Not updated, Total Trade Value: 132436120902.00 US$"
"
        SELECT TOP 3 pc.Country, SUM(f.[Trade Value (US$)]) AS TotalTradeValue
        FROM FactTrade f
        INNER JOIN DimCountry rc ON f.ReporterCountryId = rc.CountryID
        INNER JOIN DimCountry pc ON f.PartnerCountryId = pc.CountryID
        INNER JOIN DimProduct p ON f.ProductID = p.ProductID_SK
        WHERE 
            f.CreationDateKey = 20201231
            AND f.Is_Active = 'Y'
            AND rc.Country = 'Saudi Arabia'  -- Handle single quote in country name
            AND pc.Country <> 'World'
            AND [Trade Flow Code] = 2
        GROUP BY pc.Country
        ORDER BY TotalTradeValue DESC;
    ","I'm interested in knowing the top 3 markets for Saudi Arabia's exports in 2020. Can you provide details on these markets, including the countries and their respective total trade values?","In 2020, the top 3 markets for Saudi Arabia's exports, based on trade flow code 2, are as follows:
Market 1: United Arab Emirates, Total Trade Value: 8917204801.00 US$"
"
        SELECT TOP 3 pc.Country, SUM(f.[Trade Value (US$)]) AS TotalTradeValue
        FROM FactTrade f
        INNER JOIN DimCountry rc ON f.ReporterCountryId = rc.CountryID
        INNER JOIN DimCountry pc ON f.PartnerCountryId = pc.CountryID
        INNER JOIN DimProduct p ON f.ProductID = p.ProductID_SK
        WHERE 
            f.CreationDateKey = 20201231
            AND f.Is_Active = 'Y'
            AND rc.Country = 'Saudi Arabia'  -- Handle single quote in country name
            AND pc.Country <> 'World'
            AND [Trade Flow Code] = 2
        GROUP BY pc.Country
        ORDER BY TotalTradeValue DESC;
    ","I'm interested in knowing the top 3 markets for Saudi Arabia's exports in 2020. Can you provide details on these markets, including the countries and their respective total trade values?","In 2020, the top 3 markets for Saudi Arabia's exports, based on trade flow code 2, are as follows:
Market 1: China, Total Trade Value: 8181515705.00 US$"
