SQL Query,Prompt,Response
"
        SELECT TOP 3 pc.Country, SUM(f.[Trade Value (US$)]) AS TotalTradeValue
        FROM FactTrade f
        INNER JOIN DimCountry rc ON f.ReporterCountryId = rc.CountryID
        INNER JOIN DimCountry pc ON f.PartnerCountryId = pc.CountryID
        INNER JOIN DimProduct p ON f.ProductID = p.ProductID_SK
        WHERE 
            f.CreationDateKey = 20221231
            AND f.Is_Active = 'Y'
            AND rc.Country = 'Haiti'  -- Handle single quote in country name
            AND pc.Country <> 'World'
            AND [Trade Flow Code] = 1
        GROUP BY pc.Country
        ORDER BY TotalTradeValue DESC;
    ","I want to understand Haiti's top 3 import suppliers in 2022. Could you provide details on these suppliers, including the countries and their respective total trade values?","In 2022, the top 3 suppliers for Haiti's imports, based on trade flow code 1, are as follows:
Supplier 1: United States, Total Trade Value: 1214421750.00 US$
Supplier 2: EU-27, Total Trade Value: 144282158.00 US$
Supplier 3: China, Total Trade Value: 138413850.00 US$"
"
        SELECT TOP 3 pc.Country, SUM(f.[Trade Value (US$)]) AS TotalTradeValue
        FROM FactTrade f
        INNER JOIN DimCountry rc ON f.ReporterCountryId = rc.CountryID
        INNER JOIN DimCountry pc ON f.PartnerCountryId = pc.CountryID
        INNER JOIN DimProduct p ON f.ProductID = p.ProductID_SK
        WHERE 
            f.CreationDateKey = 20211231
            AND f.Is_Active = 'Y'
            AND rc.Country = 'Bolivia'  -- Handle single quote in country name
            AND pc.Country <> 'World'
            AND [Trade Flow Code] = 1
        GROUP BY pc.Country
        ORDER BY TotalTradeValue DESC;
    ","I want to understand Bolivia's top 3 import suppliers in 2021. Could you provide details on these suppliers, including the countries and their respective total trade values?","In 2021, the top 3 suppliers for Bolivia's imports, based on trade flow code 1, are as follows:
Supplier 1: China, Total Trade Value: 1975782554.00 US$
Supplier 2: Brazil, Total Trade Value: 1707184765.00 US$
Supplier 3: Argentina, Total Trade Value: 1274105762.00 US$"
"
        SELECT TOP 3 pc.Country, SUM(f.[Trade Value (US$)]) AS TotalTradeValue
        FROM FactTrade f
        INNER JOIN DimCountry rc ON f.ReporterCountryId = rc.CountryID
        INNER JOIN DimCountry pc ON f.PartnerCountryId = pc.CountryID
        INNER JOIN DimProduct p ON f.ProductID = p.ProductID_SK
        WHERE 
            f.CreationDateKey = 20201231
            AND f.Is_Active = 'Y'
            AND rc.Country = 'India'  -- Handle single quote in country name
            AND pc.Country <> 'World'
            AND [Trade Flow Code] = 1
        GROUP BY pc.Country
        ORDER BY TotalTradeValue DESC;
    ","I want to understand India's top 3 import suppliers in 2020. Could you provide details on these suppliers, including the countries and their respective total trade values?","In 2020, the top 3 suppliers for India's imports, based on trade flow code 1, are as follows:
Supplier 1: China, Total Trade Value: 58798822715.00 US$
Supplier 2: United States, Total Trade Value: 26615670690.00 US$
Supplier 3: United Arab Emirates, Total Trade Value: 23901105386.00 US$"
"
        SELECT TOP 3 pc.Country, SUM(f.[Trade Value (US$)]) AS TotalTradeValue
        FROM FactTrade f
        INNER JOIN DimCountry rc ON f.ReporterCountryId = rc.CountryID
        INNER JOIN DimCountry pc ON f.PartnerCountryId = pc.CountryID
        INNER JOIN DimProduct p ON f.ProductID = p.ProductID_SK
        WHERE 
            f.CreationDateKey = 20211231
            AND f.Is_Active = 'Y'
            AND rc.Country = 'Algeria'  -- Handle single quote in country name
            AND pc.Country <> 'World'
            AND [Trade Flow Code] = 1
        GROUP BY pc.Country
        ORDER BY TotalTradeValue DESC;
    ","I want to understand Algeria's top 3 import suppliers in 2021. Could you provide details on these suppliers, including the countries and their respective total trade values?","In 2021, the top 3 suppliers for Algeria's imports, based on trade flow code 1, are as follows:
Supplier 1: China, Total Trade Value: 6349679646.00 US$
Supplier 2: France, Total Trade Value: 4381420485.00 US$
Supplier 3: Russian Federation, Total Trade Value: 2989446310.00 US$"
"
        SELECT TOP 3 pc.Country, SUM(f.[Trade Value (US$)]) AS TotalTradeValue
        FROM FactTrade f
        INNER JOIN DimCountry rc ON f.ReporterCountryId = rc.CountryID
        INNER JOIN DimCountry pc ON f.PartnerCountryId = pc.CountryID
        INNER JOIN DimProduct p ON f.ProductID = p.ProductID_SK
        WHERE 
            f.CreationDateKey = 20211231
            AND f.Is_Active = 'Y'
            AND rc.Country = 'Moldova'  -- Handle single quote in country name
            AND pc.Country <> 'World'
            AND [Trade Flow Code] = 1
        GROUP BY pc.Country
        ORDER BY TotalTradeValue DESC;
    ","I want to understand Moldova's top 3 import suppliers in 2021. Could you provide details on these suppliers, including the countries and their respective total trade values?","In 2021, the top 3 suppliers for Moldova's imports, based on trade flow code 1, are as follows:
Supplier 1: Russian Federation, Total Trade Value: 1053924485.00 US$
Supplier 2: China, Total Trade Value: 836543811.00 US$
Supplier 3: Romania, Total Trade Value: 829938684.00 US$"
"
        SELECT TOP 3 pc.Country, SUM(f.[Trade Value (US$)]) AS TotalTradeValue
        FROM FactTrade f
        INNER JOIN DimCountry rc ON f.ReporterCountryId = rc.CountryID
        INNER JOIN DimCountry pc ON f.PartnerCountryId = pc.CountryID
        INNER JOIN DimProduct p ON f.ProductID = p.ProductID_SK
        WHERE 
            f.CreationDateKey = 20201231
            AND f.Is_Active = 'Y'
            AND rc.Country = 'Germany'  -- Handle single quote in country name
            AND pc.Country <> 'World'
            AND [Trade Flow Code] = 1
        GROUP BY pc.Country
        ORDER BY TotalTradeValue DESC;
    ","I want to understand Germany's top 3 import suppliers in 2020. Could you provide details on these suppliers, including the countries and their respective total trade values?","In 2020, the top 3 suppliers for Germany's imports, based on trade flow code 1, are as follows:
Supplier 1: China, Total Trade Value: 134918976289.00 US$
Supplier 2: Netherlands, Total Trade Value: 88520862030.00 US$
Supplier 3: United States, Total Trade Value: 78402819436.00 US$"
"
        SELECT TOP 3 pc.Country, SUM(f.[Trade Value (US$)]) AS TotalTradeValue
        FROM FactTrade f
        INNER JOIN DimCountry rc ON f.ReporterCountryId = rc.CountryID
        INNER JOIN DimCountry pc ON f.PartnerCountryId = pc.CountryID
        INNER JOIN DimProduct p ON f.ProductID = p.ProductID_SK
        WHERE 
            f.CreationDateKey = 20201231
            AND f.Is_Active = 'Y'
            AND rc.Country = 'Bermuda'  -- Handle single quote in country name
            AND pc.Country <> 'World'
            AND [Trade Flow Code] = 1
        GROUP BY pc.Country
        ORDER BY TotalTradeValue DESC;
    ","I want to understand Bermuda's top 3 import suppliers in 2020. Could you provide details on these suppliers, including the countries and their respective total trade values?","In 2020, the top 3 suppliers for Bermuda's imports, based on trade flow code 1, are as follows:
Supplier 1: United States, Total Trade Value: 632047804.00 US$
Supplier 2: Canada, Total Trade Value: 71489049.00 US$
Supplier 3: United Kingdom, Total Trade Value: 45488159.00 US$"
"
        SELECT TOP 3 pc.Country, SUM(f.[Trade Value (US$)]) AS TotalTradeValue
        FROM FactTrade f
        INNER JOIN DimCountry rc ON f.ReporterCountryId = rc.CountryID
        INNER JOIN DimCountry pc ON f.PartnerCountryId = pc.CountryID
        INNER JOIN DimProduct p ON f.ProductID = p.ProductID_SK
        WHERE 
            f.CreationDateKey = 20221231
            AND f.Is_Active = 'Y'
            AND rc.Country = 'Estonia'  -- Handle single quote in country name
            AND pc.Country <> 'World'
            AND [Trade Flow Code] = 1
        GROUP BY pc.Country
        ORDER BY TotalTradeValue DESC;
    ","I want to understand Estonia's top 3 import suppliers in 2022. Could you provide details on these suppliers, including the countries and their respective total trade values?","In 2022, the top 3 suppliers for Estonia's imports, based on trade flow code 1, are as follows:
Supplier 1: Russian Federation, Total Trade Value: 2037538167.00 US$
Supplier 2: Not updated, Total Trade Value: 1941517593.00 US$
Supplier 3: Germany, Total Trade Value: 1892329379.00 US$"
"
        SELECT TOP 3 pc.Country, SUM(f.[Trade Value (US$)]) AS TotalTradeValue
        FROM FactTrade f
        INNER JOIN DimCountry rc ON f.ReporterCountryId = rc.CountryID
        INNER JOIN DimCountry pc ON f.PartnerCountryId = pc.CountryID
        INNER JOIN DimProduct p ON f.ProductID = p.ProductID_SK
        WHERE 
            f.CreationDateKey = 20211231
            AND f.Is_Active = 'Y'
            AND rc.Country = 'Azerbaijan'  -- Handle single quote in country name
            AND pc.Country <> 'World'
            AND [Trade Flow Code] = 1
        GROUP BY pc.Country
        ORDER BY TotalTradeValue DESC;
    ","I want to understand Azerbaijan's top 3 import suppliers in 2021. Could you provide details on these suppliers, including the countries and their respective total trade values?","In 2021, the top 3 suppliers for Azerbaijan's imports, based on trade flow code 1, are as follows:
Supplier 1: Russian Federation, Total Trade Value: 2073246513.00 US$
Supplier 2: Turkey, Total Trade Value: 1843662548.00 US$
Supplier 3: China, Total Trade Value: 1639490664.00 US$"
"
        SELECT TOP 3 pc.Country, SUM(f.[Trade Value (US$)]) AS TotalTradeValue
        FROM FactTrade f
        INNER JOIN DimCountry rc ON f.ReporterCountryId = rc.CountryID
        INNER JOIN DimCountry pc ON f.PartnerCountryId = pc.CountryID
        INNER JOIN DimProduct p ON f.ProductID = p.ProductID_SK
        WHERE 
            f.CreationDateKey = 20211231
            AND f.Is_Active = 'Y'
            AND rc.Country = 'Cayman Islands'  -- Handle single quote in country name
            AND pc.Country <> 'World'
            AND [Trade Flow Code] = 1
        GROUP BY pc.Country
        ORDER BY TotalTradeValue DESC;
    ","I want to understand Cayman Islands's top 3 import suppliers in 2021. Could you provide details on these suppliers, including the countries and their respective total trade values?","In 2021, the top 3 suppliers for Cayman Islands's imports, based on trade flow code 1, are as follows:
Supplier 1: United States, Total Trade Value: 1253417378.00 US$
Supplier 2: Jamaica, Total Trade Value: 51887600.00 US$
Supplier 3: United Kingdom, Total Trade Value: 38059824.00 US$"
